uni_name,foundation_year,type,city,region,year
OSMANİYE KORKUT ATA ÜNİVERSİTESİ,29.05.2007,DEVLET,Osmaniye,AKDENİZ,2023
OSTİM TEKNİK ÜNİVERSİTESİ,01.07.2017,VAKIF,Ankara,İÇ ANADOLU,2023
ÖZYEĞİN ÜNİVERSİTESİ,18.05.2007,VAKIF,İstanbul,MARMARA,2023
PAMUKKALE ÜNİVERSİTESİ,11.07.1992,DEVLET,Denizli,EGE,2023
PİRİ REİS ÜNİVERSİTESİ,30.01.2008,VAKIF,İstanbul,MARMARA,2023
RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ,17.03.2006,DEVLET,Rize,KARADENİZ,2023
SABANCI ÜNİVERSİTESİ,07.06.1996,VAKIF,İstanbul,MARMARA,2023
SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,15.04.2015,DEVLET,İstanbul,MARMARA,2023
SAKARYA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,18.05.2018,DEVLET,Sakarya,MARMARA,2023
SAKARYA ÜNİVERSİTESİ,11.07.1992,DEVLET,Sakarya,MARMARA,2023
SAMSUN ÜNİVERSİTESİ,18.05.2018,DEVLET,Samsun,KARADENİZ,2023
SANKO ÜNİVERSİTESİ,18.06.2013,VAKIF,Gaziantep,GÜNEYDOĞU ANADOLU,2023
SELÇUK ÜNİVERSİTESİ,11.04.1975,DEVLET,Konya,İÇ ANADOLU,2023
SİİRT ÜNİVERSİTESİ,29.05.2007,DEVLET,Siirt,GÜNEYDOĞU ANADOLU,2023
SİNOP ÜNİVERSİTESİ,29.05.2007,DEVLET,Sinop,KARADENİZ,2023
SİVAS BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,18.05.2018,DEVLET,Sivas,İÇ ANADOLU,2023
SİVAS CUMHURİYET ÜNİVERSİTESİ,09.02.1974,DEVLET,Sivas,İÇ ANADOLU,2023
SÜLEYMAN DEMİREL ÜNİVERSİTESİ,11.07.1992,DEVLET,Isparta,AKDENİZ,2023
ŞIRNAK ÜNİVERSİTESİ,22.05.2008,DEVLET,Şırnak,GÜNEYDOĞU ANADOLU,2023
TARSUS ÜNİVERSİTESİ,18.05.2018,DEVLET,Mersin,AKDENİZ,2023
TED ÜNİVERSİTESİ,07.07.2009,VAKIF,Ankara,İÇ ANADOLU,2023
TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ,17.03.2006,DEVLET,Tekirdağ,MARMARA,2023
TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ,01.07.2003,VAKIF,Ankara,İÇ ANADOLU,2023
TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ,11.07.1992,DEVLET,Tokat,KARADENİZ,2023
TOROS ÜNİVERSİTESİ,07.07.2009,VAKIF,Mersin,AKDENİZ,2023
TRABZON ÜNİVERSİTESİ,18.05.2018,DEVLET,Trabzon,KARADENİZ,2023
TRAKYA ÜNİVERSİTESİ,20.07.1982,DEVLET,Edirne,MARMARA,2023
TÜRK HAVA KURUMU ÜNİVERSİTESİ,03.03.2011,VAKIF,Ankara,İÇ ANADOLU,2023
TÜRK-ALMAN ÜNİVERSİTESİ,07.11.2010,DEVLET,İstanbul,MARMARA,2023
"TÜRKİYE ULUSLARARASI İSLAM, BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ",23.04.2015,DEVLET,İstanbul,MARMARA,2023
TÜRK-JAPON BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,24.06.2017,DEVLET,İstanbul,MARMARA,2023
UFUK ÜNİVERSİTESİ,18.12.1999,VAKIF,Ankara,İÇ ANADOLU,2023
UŞAK ÜNİVERSİTESİ,17.03.2006,DEVLET,Uşak,EGE,2023
ÜSKÜDAR ÜNİVERSİTESİ,03.03.2011,VAKIF,İstanbul,MARMARA,2023
VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ,20.07.1982,DEVLET,Van,DOĞU ANADOLU,2023
YALOVA ÜNİVERSİTESİ,22.05.2008,DEVLET,Yalova,MARMARA,2023
YAŞAR ÜNİVERSİTESİ,14.04.2001,VAKIF,İzmir,EGE,2023
YEDİTEPE ÜNİVERSİTESİ,07.06.1996,VAKIF,İstanbul,MARMARA,2023
YILDIZ TEKNİK ÜNİVERSİTESİ,20.07.1982,DEVLET,İstanbul,MARMARA,2023
YOZGAT BOZOK ÜNİVERSİTESİ,17.03.2006,DEVLET,Yozgat,İÇ ANADOLU,2023
YÜKSEK İHTİSAS ÜNİVERSİTESİ,02.08.2013,VAKIF,Ankara,İÇ ANADOLU,2023
ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ,11.07.1992,DEVLET,Zonguldak,KARADENİZ,2023
ABDULLAH GÜL ÜNİVERSİTESİ,21.07.2010,DEVLET,Kayseri,İÇ ANADOLU,2022
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,18.05.2007,VAKIF,İstanbul,MARMARA,2022
ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,14.04.2011,DEVLET,Adana,AKDENİZ,2022
ADIYAMAN ÜNİVERSİTESİ,17.03.2006,DEVLET,Adıyaman,GÜNEYDOĞU ANADOLU,2022
AFYON KOCATEPE ÜNİVERSİTESİ,11.07.1992,DEVLET,Afyonkarahisar,EGE,2022
AFYONKARAHİSAR SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,18.05.2018,DEVLET,Afyonkarahisar,EGE,2022
AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ,29.05.2007,DEVLET,Ağrı,DOĞU ANADOLU,2022
AKDENİZ ÜNİVERSİTESİ,20.07.1982,DEVLET,Antalya,AKDENİZ,2022
AKSARAY ÜNİVERSİTESİ,17.03.2006,DEVLET,Aksaray,İÇ ANADOLU,2022
ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ,23.04.2015,DEVLET,Antalya,AKDENİZ,2022
ALANYA HAMDULLAH EMİN PAŞA ÜNİVERSİTESİ,03.03.2011,VAKIF,Antalya,AKDENİZ,2022
ALTINBAŞ ÜNİVERSİTESİ,22.05.2008,VAKIF,İstanbul,MARMARA,2022
AMASYA ÜNİVERSİTESİ,17.03.2006,DEVLET,Amasya,KARADENİZ,2022
ANADOLU ÜNİVERSİTESİ,30.11.1973,DEVLET,Eskişehir,İÇ ANADOLU,2022
ANKA TEKNOLOJİ ÜNİVERSİTESİ,18.06.2013,VAKIF,Ankara,İÇ ANADOLU,2022
ANKARA BİLİM ÜNİVERSİTESİ,17.04.2020,VAKIF,Ankara,İÇ ANADOLU,2022
ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ,18.05.2018,DEVLET,Ankara,İÇ ANADOLU,2022
ANKARA MEDİPOL ÜNİVERSİTESİ,18.05.2018,VAKIF,Ankara,İÇ ANADOLU,2022
ANKARA MÜZİK VE GÜZEL SANATLAR ÜNİVERSİTESİ,01.07.2017,DEVLET,Ankara,İÇ ANADOLU,2022
ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ,31.01.2013,DEVLET,Ankara,İÇ ANADOLU,2022
ANKARA ÜNİVERSİTESİ,13.06.1946,DEVLET,Ankara,İÇ ANADOLU,2022
ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ,21.07.2010,DEVLET,Ankara,İÇ ANADOLU,2022
ANTALYA AKEV ÜNİVERSİTESİ,23.04.2015,VAKIF,Antalya,AKDENİZ,2022
ANTALYA BİLİM ÜNİVERSİTESİ,21.07.2010,VAKIF,Antalya,AKDENİZ,2022
ARDAHAN ÜNİVERSİTESİ,22.05.2008,DEVLET,Ardahan,DOĞU ANADOLU,2022
ARTVİN ÇORUH ÜNİVERSİTESİ,29.05.2007,DEVLET,Artvin,KARADENİZ,2022
ATAŞEHİR ADIGÜZEL MESLEK YÜKSEKOKULU,16.03.2014,VAKIF MYO,İstanbul,MARMARA,2022
ATATÜRK ÜNİVERSİTESİ,31.05.1957,DEVLET,Erzurum,DOĞU ANADOLU,2022
ATILIM ÜNİVERSİTESİ,15.07.1997,VAKIF,Ankara,İÇ ANADOLU,2022
AVRASYA ÜNİVERSİTESİ,10.12.2010,VAKIF,Trabzon,KARADENİZ,2022
AYDIN ADNAN MENDERES ÜNİVERSİTESİ,11.07.1992,DEVLET,Aydın,EGE,2022
BAHÇEŞEHİR ÜNİVERSİTESİ,18.01.1998,VAKIF,İstanbul,MARMARA,2022
